640;175;20;175;15;0;30;0;0;30;0
470;60;15;290;11;0;22;0;0;22;0
430;260;13;90;10;0;20;0;0;20;0
352;120;11;230;8;0;16;0;0;16;0
443;160;14;190;10;0;21;0;0;21;0
456;170;14;180;11;0;21;0;0;21;0
378;120;12;230;9;0;17;0;0;17;0
1402;115;45;235;34;0;66;0;0;66;0
430;250;13;100;10;0;20;0;0;20;0
396;110;12;240;9;0;18;0;0;18;0
405;135;13;215;9;0;19;0;0;19;0
579;135;18;205;14;10;27;10;0;27;0
270;155;8;135;6;50;12;50;10;12;10
579;70;18;210;14;70;27;70;0;27;0
201;205;6;115;4;10;9;10;20;9;20
324;150;10;160;7;10;15;10;30;15;30
828;185;26;95;20;60;39;60;10;39;10
657;55;21;235;16;60;31;60;0;31;0
440;70;14;250;10;10;20;10;20;20;20
376;170;12;130;9;30;17;30;20;17;20
275;90;8;210;6;30;13;30;20;13;20
482;100;16;210;12;20;23;20;20;23;20
495;155;16;165;13;20;24;20;10;24;10
727;210;24;100;18;10;35;10;30;35;30
160;60;5;220;3;70;7;70;0;7;0
724;120;23;160;17;40;34;40;30;34;30
368;135;11;175;8;20;17;20;20;17;20
301;110;9;190;7;50;14;50;0;14;0
370;190;11;150;9;10;17;10;0;17;0
561;170;18;140;13;30;26;30;10;26;10
457;130;14;200;11;10;21;10;10;21;10
487;55;15;255;11;30;23;30;10;23;10
268;135;8;185;6;20;12;20;10;12;10
471;170;15;140;11;30;22;30;10;22;10
399;150;12;160;9;30;18;30;10;18;10
312;80;11;250;8;20;15;20;0;15;0
296;175;10;145;8;20;15;20;10;15;10
230;50;8;270;6;20;11;16;10;11;10
1031;165;34;135;26;50;50;50;0;50;0
486;100;16;170;12;20;24;20;60;24;60
530;155;18;155;13;20;26;20;20;26;20
13;45;1;10;1;10;1;8;0;1;0
6;10;0;20;0;10;0;2;20;0;4
8;10;0;35;0;10;0;4;10;0;2
7;10;0;20;0;10;0;0;20;0;4
10;20;0;40;0;10;0;10;0;0;0
2;20;0;20;0;10;0;2;10;0;2
12;10;0;10;0;10;0;8;20;0;0
366;135;11;155;8;30;17;30;30;17;30
606;155;19;155;14;40;28;40;0;28;0
455;250;14;60;11;10;21;10;30;21;30
283;135;9;145;6;60;13;60;10;13;10
